"id","assemblyline","machineId","category","sub_category","andon_alerts","andon_acknowledge","andon_resolved","total_time","alert_shift","company","location","shopfloor","repair_time","response_time"
28,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-26 08:04:14","2023-10-26 08:53:33","2023-10-26 09:00:13","0:55:59","FS","SKF","PUNE","TRB BEARING","0:06:40","0:49:19"
29,"CHANNEL T3","SGB1054","MANUFACTURING ENGG",NULL,"2023-10-26 08:46:13","2023-10-26 08:53:33","2023-10-26 09:00:13","0:14:00","FS","SKF","PUNE","TRB BEARING","0:06:40","0:07:20"
30,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-26 08:46:13","2023-10-26 08:53:33","2023-10-26 09:00:13","0:14:00","FS","SKF","PUNE","TRB BEARING","0:06:40","0:07:20"
31,"CHANNEL T3","SGB1054","SUPPLY CHAIN",NULL,"2023-10-26 08:46:13","2023-10-26 08:53:33","2023-10-26 09:00:13","0:14:00","FS","SKF","PUNE","TRB BEARING","0:06:40","0:07:20"
32,"CHANNEL T3","SFP978","MAINTENANCE",NULL,"2023-10-26 08:46:53","2023-10-26 08:53:33","2023-10-26 09:00:53","0:14:00","FS","SKF","PUNE","TRB BEARING","0:07:20","0:06:40"
33,"CHANNEL T3","SGB1054","RESETTING",NULL,"2023-10-26 08:46:53","2023-10-26 08:52:53","2023-10-26 09:00:13","0:13:20","FS","SKF","PUNE","TRB BEARING","0:07:20","0:06:00"
34,"CHANNEL T3","SGB1054","QUALITY",NULL,"2023-10-26 08:46:53","2023-10-26 08:52:53","2023-10-26 09:00:13","0:13:20","FS","SKF","PUNE","TRB BEARING","0:07:20","0:06:00"
35,"CHANNEL T3","SFP978","MANUFACTURING ENGG",NULL,"2023-10-26 08:46:53","2023-10-26 08:53:33","2023-10-26 09:00:53","0:14:00","FS","SKF","PUNE","TRB BEARING","0:07:20","0:06:40"
36,"CHANNEL T3","SFP978","RESETTING",NULL,"2023-10-26 08:46:53","2023-10-26 08:53:33","2023-10-26 09:00:53","0:14:00","FS","SKF","PUNE","TRB BEARING","0:07:20","0:06:40"
37,"CHANNEL T3","SFP978","QUALITY",NULL,"2023-10-26 08:46:53","2023-10-26 08:53:33","2023-10-26 09:00:53","0:14:00","FS","SKF","PUNE","TRB BEARING","0:07:20","0:06:40"
38,"CHANNEL T3","SFP978","SUPPLY CHAIN",NULL,"2023-10-26 08:46:53","2023-10-26 08:53:33","2023-10-26 09:00:53","0:14:00","FS","SKF","PUNE","TRB BEARING","0:07:20","0:06:40"
39,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-26 11:24:18","2023-10-26 11:29:38","2023-10-26 11:31:38","0:07:20","FS","SKF","PUNE","TRB BEARING","0:02:00","0:05:20"
40,"CHANNEL T3","SFP978","RESETTING",NULL,"2023-10-26 11:24:57","2023-10-26 11:27:38","2023-10-26 11:31:38","0:06:41","FS","SKF","PUNE","TRB BEARING","0:04:00","0:02:41"
41,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-26 11:35:39","2023-10-26 11:38:19","2023-10-26 11:40:59","0:05:20","FS","SKF","PUNE","TRB BEARING","0:02:40","0:02:40"
42,"CHANNEL T3","SFP978","MANUFACTURING ENGG",NULL,"2023-10-26 11:38:19","2023-10-26 11:40:19","2023-10-26 11:41:39","0:03:20","FS","SKF","PUNE","TRB BEARING","0:01:20","0:02:00"
43,"CHANNEL T3","SFP978","RESETTING",NULL,"2023-10-26 11:38:19","2023-10-26 11:40:19","2023-10-26 11:41:39","0:03:20","FS","SKF","PUNE","TRB BEARING","0:01:20","0:02:00"
44,"CHANNEL T3","SFP978","QUALITY",NULL,"2023-10-26 11:38:19","2023-10-26 11:40:19","2023-10-26 11:41:39","0:03:20","FS","SKF","PUNE","TRB BEARING","0:01:20","0:02:00"
45,"CHANNEL T3","SFP978","SUPPLY CHAIN",NULL,"2023-10-26 11:38:19","2023-10-26 11:40:19","2023-10-26 11:41:39","0:03:20","FS","SKF","PUNE","TRB BEARING","0:01:20","0:02:00"
46,"CHANNEL T3","SGB1054","RESETTING",NULL,"2023-10-26 11:39:39","2023-10-26 11:40:59","2023-10-26 11:41:39","0:02:00","FS","SKF","PUNE","TRB BEARING","0:00:40","0:01:20"
